                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.5145,                0.98234,                0.88192,                0.77932,                0.66734,                0.75231,                0.40637,                 1.0699,                0.71546,                0.65909,               0.000812,               0.000812,               0.000812
                     38,                  1.473,                0.94016,                0.87165,                0.76086,                0.63967,                 0.7402,                0.40888,                 1.0542,                0.70961,                0.65986,               0.000779,               0.000779,               0.000779
                     39,                  1.433,                0.92624,                 0.8764,                0.77847,                0.69601,                0.77213,                 0.4361,                 1.0655,                0.67749,                0.66093,               0.000746,               0.000746,               0.000746
                     40,                 1.4943,                0.96141,                0.89185,                 0.7988,                0.68966,                0.77921,                0.42872,                 1.0817,                0.69761,                0.66647,               0.000713,               0.000713,               0.000713
                     41,                 1.4521,                0.94202,                0.89374,                0.78172,                0.68545,                0.77124,                 0.4375,                 1.0635,                0.68333,                0.66271,                0.00068,                0.00068,                0.00068
                     42,                 1.5025,                0.97943,                0.89325,                 0.7968,                0.69249,                0.77628,                0.43632,                 1.0515,                0.67528,                0.65696,               0.000647,               0.000647,               0.000647
                     43,                 1.4724,                0.93486,                0.87558,                0.78851,                0.69718,                0.78041,                0.40925,                 1.0814,                0.69775,                0.65768,               0.000614,               0.000614,               0.000614
                     44,                 1.4449,                0.89805,                0.88538,                0.81879,                0.69836,                0.78899,                0.45272,                 1.0172,                0.64313,                0.65382,               0.000581,               0.000581,               0.000581
                     45,                 1.5211,                 1.3405,                0.86077,                0.81366,                0.71127,                0.78686,                0.45006,                 1.0395,                0.64226,                0.65836,               0.000548,               0.000548,               0.000548
                     46,                 1.4207,                0.91841,                0.88164,                0.82003,                0.71665,                0.79532,                0.46169,                 0.9971,                0.63193,                0.65124,               0.000515,               0.000515,               0.000515
                     47,                 1.4231,                0.90557,                0.86892,                0.79533,                0.68192,                0.78616,                0.44019,                 1.0177,                 0.6523,                0.65129,               0.000482,               0.000482,               0.000482
                     48,                  1.373,                0.88423,                0.87649,                0.77491,                0.71596,                0.78497,                0.44825,                 1.0236,                0.63517,                0.65506,               0.000449,               0.000449,               0.000449
                     49,                 1.4151,                0.90239,                0.88076,                0.84145,                0.66315,                0.79244,                0.46027,                 1.0043,                0.62506,                0.65325,               0.000416,               0.000416,               0.000416
                     50,                 1.3579,                0.85105,                0.87128,                0.81565,                0.70104,                0.79242,                0.46054,                 0.9993,                0.61834,                0.65251,               0.000383,               0.000383,               0.000383
                     51,                 1.3326,                0.86075,                 0.8737,                0.78921,                0.71362,                0.79136,                0.45207,                 1.0308,                0.63434,                0.65622,                0.00035,                0.00035,                0.00035
                     52,                 1.3326,                0.88377,                0.88586,                0.83291,                0.70188,                0.80079,                0.46506,                 1.0067,                 0.6188,                0.65484,               0.000317,               0.000317,               0.000317
                     53,                 1.2942,                0.95603,                0.83825,                0.81005,                0.69836,                0.79314,                0.46047,                 1.0064,                0.62512,                0.65312,               0.000284,               0.000284,               0.000284
                     54,                 1.3238,                0.85452,                0.88213,                0.81797,                0.70672,                0.80017,                0.46099,                 1.0046,                0.62206,                0.65443,               0.000251,               0.000251,               0.000251
                     55,                  1.278,                 1.1126,                0.85621,                0.82048,                0.70305,                0.80063,                0.47351,                0.99412,                0.61313,                0.65275,               0.000218,               0.000218,               0.000218
                     56,                 1.3275,                0.87707,                0.87881,                0.80836,                0.71009,                0.80006,                0.46538,                0.98928,                0.62089,                0.64966,               0.000185,               0.000185,               0.000185
                     57,                 1.3235,                0.87656,                0.87933,                0.80749,                 0.7188,                0.80211,                0.46879,                0.98199,                0.60594,                0.64806,               0.000152,               0.000152,               0.000152
                     58,                 1.2863,                0.84983,                0.87234,                0.83797,                0.69953,                0.80066,                0.46623,                  0.988,                0.60829,                0.64929,               0.000119,               0.000119,               0.000119
                     59,                 1.2502,                 0.7973,                0.86887,                0.84179,                0.68897,                0.79578,                 0.4664,                0.99743,                0.61493,                 0.6504,                8.6e-05,                8.6e-05,                8.6e-05
                     60,                 1.2875,                0.79558,                0.87047,                0.84621,                0.69748,                0.80786,                0.47032,                0.99287,                0.61036,                0.65031,                5.3e-05,                5.3e-05,                5.3e-05
